معرّف التصنيف,اسم التصنيف (عربي),اسم التصنيف (EN),اسم التصنيف (DE),أيقونة FontAwesome
gfx-landscape,تصميم حدائق لاندسكيب,Landscape Garden Design,Landschaftsgartengestaltung,fa-tree
gfx-decor,ديكور داخلي وخارجي,Interior & Exterior Decor,Innen- & Außendekor,fa-couch
gfx-prints,مطبوعات,Prints,Drucksachen,fa-print
gfx-screens,شاشات إلكترونية,Electronic Screens,Elektronische Bildschirme,fa-tv
gfx-3d-print,طباعة 3D,3D Printing,3D-Druck,fa-cube
gfx-ai,ذكاء صناعي,Artificial Intelligence,Künstliche Intelligenz,fa-robot
gfx-plans,مخططات,Plans & Blueprints,Pläne & Zeichnungen,fa-drafting-compass
gfx-industrial,بناء صناعي,Industrial Construction,Industriebau,fa-industry
